name,usn,predicted_atleast,predicted_mostlikely,predicted_maxeffort,actual
I*************Y,1********2,0.0,0.0,0.0,
N********S,1********8,0.0,0.0,0.0,
T*******R,1********1,7.94,8.76,8.94,
A**************K,1********4,0.0,0.0,0.0,9.29
A********************A,1********4,8.82,9.18,9.82,9.29
A*********H,1********6,9.0,9.82,10.0,9.47
U*****n,1********2,,,,10.0
K*******V,1********9,7.82,8.35,8.82,7.76
M*************A,1********1,7.18,7.76,8.41,7.35
N*******L,1********5,7.18,7.94,8.41,7.52
R****************I,1********7,7.35,7.94,8.35,7.82
Y********S,1********3,8.18,8.76,9.18,9.05
C*************Y,1********1,8.59,9.41,9.59,9.41
M*********************H,1********4,8.18,8.76,9.18,9.35
N*******I,1********7,0.0,0.0,0.0,8.05
A***************A,1********4,7.53,8.35,8.71,5.88
A**********L,1********6,,,,8.64
A*********D,1********8,9.0,9.47,10.0,9.41
C********S,1********6,,,,7.88
C*******I,1********7,7.35,7.82,8.35,7.17
D***********L,1********9,8.29,8.88,9.29,7.94
J********S,1********4,8.06,8.88,9.06,8.05
K*****************E,1********7,8.82,9.82,9.82,9.17
K*********L,1********8,7.0,7.47,7.82,7.58
K**************I,1********2,8.29,8.71,9.29,8.88
N****************Y,1********3,7.94,8.53,8.94,8.11
N****************I,1********4,8.65,8.71,9.65,8.1
N*****S,1********5,7.47,8.24,8.47,4.77
R******R,1********5,8.12,8.76,9.12,
R*******S,1********7,8.82,9.47,9.82,9.05
S*********R,1********9,7.94,8.76,8.94,7.76
S***********S,1********0,8.82,9.29,9.82,9.05
S******************V,1********2,8.47,9.47,9.47,8.7
S*******************L,1********5,8.12,8.71,9.12,7.7
S**********V,1********8,7.88,8.88,8.88,8.29
V**********E,1********7,0.0,0.0,0.0,8.29
A*******N,1********3,8.53,8.94,9.71,8.88
A****************I,1********3,7.65,8.24,8.65,7.41
D*****S,1********5,,,,8.7
M****************T,1********1,6.88,7.65,8.24,7.82
M***********************U,1********4,8.76,9.24,9.76,9.0
S***********L,1********1,8.76,9.35,9.94,9.52
S**********************E,1********3,8.06,8.59,9.06,7.82
D****************I,1********6,7.82,8.59,9.0,8.58
G*****************A,1********0,7.29,7.94,8.53,7.58
P**********R,1********6,8.41,9.18,9.65,8.58
G*********************J,1********5,8.47,9.06,9.65,8.47
H*********T,1********7,,,,
M****************A,1********2,9.0,9.65,10.0,9.23
R****J,1********0,0.0,0.0,0.0,9.11
R************h,1********4,,,,8.7
Y********N,1********3,8.65,9.29,9.65,8.88
B*******S,1********6,6.06,6.59,7.0,5.17
S*******M,1********9,8.59,9.12,9.59,9.35
S********************V,1********5,,,,5.29
S******U,1********0,8.29,8.88,9.47,8.94
A****************A,1********3,7.47,8.12,8.94,8.11
B******K,1********4,7.47,8.0,8.47,8.0
K**************K,1********2,7.47,8.12,8.71,8.17
K************N,1********5,0.0,0.0,0.0,9.0
L*************V,1********6,5.65,5.88,6.41,5.7
M*******************A,1********7,9.0,9.76,10.0,10.0
M*********N,1********0,8.59,8.94,9.59,9.0
P**************A,1********5,7.71,8.29,8.88,7.76
R*********E,1********0,5.35,5.53,6.12,3.94
S*************Y,1********5,8.24,8.76,9.41,8.58
A*************R,1********7,8.18,8.53,9.12,8.52
A***********R,1********0,8.41,9.24,9.59,9.11
B********I,1********8,9.0,9.24,10.0,9.05
D***************H,1********3,8.41,9.06,9.59,8.82
R********A,1********5,,,,9.35
T************A,1********4,0.0,0.0,0.0,9.41
U*****V,1********8,8.12,8.53,9.12,8.05
V********R,1********4,6.53,7.47,8.06,7.35
A**************I,1********3,9.0,9.55,10.0,8.95
B****************L,1********7,,,,8.95
C************L,1********0,0.0,0.0,0.0,3.68
D**********A,1********2,9.0,9.68,10.0,8.77
U*****n,1********8,,,,9.36
K********K,1********2,,,,9.63
P****************A,1********0,8.68,9.0,9.73,8.5
S****************Y,1********1,,,,8.0
S********S,1********3,9.0,10.0,10.0,9.36
A****************A,1********1,9.0,9.5,10.0,9.22
A*************L,1********2,6.05,6.57,6.9,
A******K,1********9,,,,7.0
D******P,1********3,9.0,9.73,10.0,9.54
,,,,,
K*************K,1********2,8.27,8.45,9.41,
M************N,1********9,6.59,7.23,7.45,7.57
N*******************J,1********5,5.43,5.81,5.95,
N***********K,1********7,8.45,9.05,9.73,8.45
N*********R,1********1,8.14,8.91,9.27,8.22
P*************************I,1********6,8.41,9.27,9.68,8.31
S********R,1********9,8.36,8.73,9.36,7.72
S***********L,1********6,0.0,0.0,0.0,7.77
S*************E,1********7,0.0,0.0,0.0,8.95
T**************A,1********6,9.0,10.0,10.0,9.4
U**********G,1********7,9.0,9.68,10.0,9.22
V************L,1********0,8.73,9.55,9.86,8.63
M*********I,1********5,8.82,9.55,10.0,9.0
D*********N,1********6,8.85,9.0,9.92,9.42
S*********A,1********4,7.73,8.09,8.91,8.09
A*******A,1********1,7.86,8.59,9.14,8.22
A****************N,1********2,8.55,8.91,9.55,8.59
A***************A,1********4,,,,9.0
A***********Z,1********5,0.0,0.0,0.0,8.13
A******************K,1********6,5.68,6.5,6.95,2.45
A*********A,1********7,8.27,9.0,9.55,8.72
A**************A,1********8,,,,7.63
A*************E,1********0,8.41,9.05,9.41,
A*********R,1********1,7.77,8.41,8.91,8.0
A*******J,1********2,,,,8.81
A***********K,1********3,8.86,9.41,9.86,9.68
A***************L,1********4,8.05,8.59,9.18,8.45
A**********R,1********5,7.95,8.59,9.0,8.45
B************U,1********7,7.05,7.55,8.05,5.5
C**********C,1********8,8.0,8.68,9.0,8.72
C**********N,1********9,8.27,8.91,9.27,8.86
D************************Y,1********0,7.09,7.95,8.23,7.09
D***********H,1********2,5.27,5.45,6.0,5.04
D********************R,1********3,8.41,9.09,9.59,9.0
G*****************R,1********7,0.0,0.0,0.0,6.86
G*****R,1********8,7.91,8.73,8.91,8.13
H******N,1********9,8.73,9.41,9.86,9.4
H******D,1********1,8.32,8.55,9.45,8.86
J************H,1********2,8.23,8.82,9.27,8.81
K***********************R,1********3,,,,5.4
K********N,1********5,7.32,8.05,8.32,7.36
L*************I,1********6,,,,9.45
L********M,1********7,8.59,8.95,9.59,8.77
M******I,1********8,0.0,0.0,0.0,9.18
M****C,1********9,0.0,0.0,0.0,8.59
M********S,1********0,9.0,9.09,10.0,9.54
M****************A,1********1,,,,8.68
P**************I,1********5,6.86,7.68,8.05,6.63
P**************Y,1********8,7.05,7.68,8.05,7.63
P*****************N,1********9,,,,4.36
R********V,1********2,8.73,9.27,9.86,9.4
R************I,1********3,8.0,8.45,9.0,8.27
R********E,1********4,8.32,8.82,9.32,8.31
S*********I,1********5,8.27,8.64,9.45,8.59
S****************N,1********6,0.0,0.0,0.0,6.68
S***********R,1********9,8.32,8.86,9.41,8.72
S*************H,1********0,6.95,7.45,8.23,6.63
S*******************Y,1********6,,,,7.4
S*********************E,1********7,8.14,8.77,9.27,8.13
S*******************E,1********8,5.09,5.5,5.68,4.22
S**************I,1********0,8.05,8.41,9.05,8.31
U******************H,1********5,8.14,8.55,9.18,8.36
V**************************H,1********6,0.0,0.0,0.0,7.77
V*************Y,1********7,8.59,9.05,9.73,9.04
Y***************H,1********8,8.32,8.68,9.32,8.5
M*********************I,1********1,6.76,7.59,7.94,7.52
P******************M,1********3,8.12,8.53,9.12,8.11
A********V,1********4,8.73,9.05,9.86,9.13
A**************R,1********5,8.09,8.55,9.09,8.18
A*****************L,1********2,8.82,9.18,10.0,8.95
C*********A,1********6,8.14,8.95,9.14,8.13
H***********S,1********1,8.0,8.77,9.27,8.5
H**********Z,1********3,0.0,0.0,0.0,8.22
I********Z,1********4,8.73,9.55,9.86,9.72
I********A,1********6,8.05,8.41,9.09,8.59
I****************Y,1********8,,,,
J***************S,1********3,7.77,8.27,8.82,7.9
M**************N,1********6,6.41,7.23,7.73,5.9
N********************I,1********1,0.0,0.0,0.0,8.36
N********K,1********4,8.64,9.18,9.68,9.27
P**U,1********9,7.36,7.73,8.5,7.95
R********L,1********7,3.45,3.95,4.14,2.68
S*****************H,1********8,0.0,0.0,0.0,8.68
S*****************************I,1********0,8.05,8.86,9.64,8.77
S*****************H,1********9,8.27,8.64,9.27,8.5
S*******U,1********0,0.0,0.0,0.0,9.04
T****************T,1********1,8.23,8.86,9.23,8.63
V***********A,1********4,0.0,0.0,0.0,8.13
D*************A,1********7,8.77,9.55,9.77,9.63
G*************R,1********4,,,,7.13
A*********K,1********1,8.45,9.09,9.86,9.0
A***********K,1********2,,,,8.68
A**********A,1********6,0.0,0.0,0.0,7.59
A***********L,1********7,8.45,9.14,9.59,9.13
A*************H,1********0,7.45,8.14,8.45,7.68
B************K,1********2,8.41,9.14,9.55,8.81
B**********************M,1********4,6.55,7.5,7.86,5.4
B*****I,1********5,8.14,8.55,9.14,8.4
C*********N,1********7,7.77,8.27,8.82,8.04
C**********R,1********8,8.73,9.27,9.73,9.27
D*******J,1********1,5.64,6.23,7.09,6.45
D******V,1********3,8.27,9.05,9.59,8.72
D*********S,1********5,7.68,8.0,8.86,8.54
G********J,1********6,7.5,7.82,8.64,7.13
H*******S,1********8,7.41,8.14,8.45,7.22
H***************P,1********9,8.73,9.45,9.86,9.45
H*******S,1********0,7.68,8.41,8.82,8.18
K************L,1********4,7.32,8.0,8.45,7.27
K**********************I,1********5,,,,7.9
L************A,1********6,,,,6.86
L**************G,,,,,
M************R,1********0,0.0,0.0,0.0,8.27
M**********A,1********3,7.55,8.32,8.55,7.81
N*******S,1********4,0.0,0.0,0.0,8.13
N*************************E,1********5,8.27,8.91,9.27,9.13
N**************Y,1********6,6.45,7.05,7.59,5.45
N********M,1********7,0.0,0.0,0.0,9.0
P*******************Y,1********0,8.45,9.32,9.59,9.04
P*************R,1********2,6.45,7.36,7.45,5.5
P************M,1********3,7.14,7.68,8.18,7.22
R********A,1********6,,,,8.09
R******U,1********9,7.5,8.09,8.64,7.63
S************M,1********2,8.41,8.91,9.59,8.86
S************T,1********6,,,,7.86
S*********F,1********7,8.86,9.45,9.86,9.45
S*********V,1********8,5.32,5.77,6.0,5.4
S****************I,1********9,7.36,8.05,8.36,6.4
S*********O,1********0,0.0,0.0,0.0,10.0
S********O,1********1,7.86,8.64,8.86,8.22
T*********I,1********3,0.0,0.0,0.0,7.45
T*********C,1********4,0.0,0.0,0.0,6.5
V****************M,1********6,8.27,9.09,9.59,8.86
Y*********A,1********9,7.41,8.23,8.45,7.63
Y**************Y,1********0,6.05,7.0,7.32,6.27
U**************A,1********1,0.0,0.0,0.0,9.0
A********Y,1********3,8.32,9.09,9.45,8.4
R***T,1********5,8.47,8.71,9.47,8.52
K********************E,1********0,8.55,9.0,9.68,9.0
M*************Y,1********9,7.86,8.59,8.86,8.68
M***********A,1********3,8.64,9.23,9.64,9.18
P********************K,1********9,6.86,7.27,8.0,6.45
S*********H,1********7,6.73,7.32,7.64,6.81
A**********H,1********3,4.76,5.38,5.81,6.09
A**********I,1********6,0.0,0.0,0.0,2.95
B*********************L,1********0,9.0,9.67,10.0,10.0
D***********K,1********5,8.52,9.19,9.67,9.38
H***********I,1********8,7.24,7.81,8.24,7.52
I************A,1********9,6.81,7.52,7.95,7.47
M*******************I,1********8,8.52,9.19,9.52,9.57
N*********L,1********4,8.1,8.9,9.24,8.95
O*************A,1********5,0.0,0.0,0.0,6.23
S****************Y,1********4,3.9,4.05,4.33,4.52
Y*******N,1********2,7.62,8.05,8.76,8.23
A***********H,1********4,6.57,7.19,7.52,6.71
A*********A,1********9,,,,8.68
M********N,1********3,6.86,7.23,8.05,7.09
S******************H,1********4,,,,7.27
H****************T,1********0,,,,7.95
S************H,1********1,7.18,7.86,8.32,7.81
A************L,1********8,7.86,8.32,8.73,7.63
C**********R,1********3,,,,9.27
H**********L,1********5,,,,9.72
J**********I,1********1,0.0,0.0,0.0,8.95
K*********C,1********9,,,,8.63
K************I,1********1,8.36,9.23,9.36,8.9
M***********R,1********5,8.27,9.18,9.27,8.86
M*******************R,1********7,0.0,0.0,0.0,8.63
M***********I,1********1,8.45,8.86,9.45,8.9
N***********S,1********3,8.5,9.23,9.68,9.09
P****************I,1********4,8.68,9.5,9.68,8.95
R**********************I,1********8,0.0,0.0,0.0,7.09
R*********I,1********0,8.55,8.95,9.55,8.77
S*******H,1********8,8.18,8.68,9.18,8.45
S**************N,1********4,8.5,8.86,9.5,8.27
S**********S,1********5,8.64,9.0,9.64,8.59
S*************R,1********2,8.77,9.45,9.82,9.5
S***************T,1********4,8.45,8.95,9.45,8.54
S********I,1********1,8.73,9.64,9.86,9.09
U******N,1********7,8.73,9.05,9.86,9.0
P*****A,1********4,7.86,8.59,9.05,8.09
S*************Y,1********0,7.82,8.64,9.0,8.18
S*************I,1********0,6.0,6.81,7.33,
A*******************H,1********1,0.0,0.0,0.0,
A***********H,1********6,0.0,0.0,0.0,
A*****N,1********7,8.52,9.14,9.67,
D****************R,1********7,0.0,0.0,0.0,
K**************M,1********6,0.0,0.0,0.0,
K*******************************R,1********8,0.0,0.0,0.0,
P*********R,1********0,8.86,9.57,9.86,
R***************N,1********6,8.86,9.57,9.86,
T*************E,1********9,7.9,8.52,8.95,
Y**********A,1********8,8.76,9.14,9.81,
Z***************A,1********2,,,,
M*******D,1********4,7.95,8.23,8.95,7.95
N*************S,1********5,8.82,8.82,8.95,8.54
A**********A,1********7,8.67,9.1,9.67,
A***L,1********5,8.81,9.0,9.81,
G************A,1********6,9.0,9.33,10.0,
M************I,1********9,8.71,9.48,10.0,
R************A,1********4,8.33,8.95,9.33,
V******S,1********7,8.48,9.1,9.62,
Z********D,1********6,,,,
M********************I,1********7,8.5,9.27,9.5,8.63
Y**********B,1********4,8.18,8.41,9.32,8.0
L************H,1********7,,,,
M**********L,1********1,0.0,0.0,0.0,
P***********d,1********5,,,,
P**************L,1********9,0.0,0.0,0.0,
A******************I,1********1,7.95,8.59,8.95,8.54
N*****************Z,1********4,7.5,7.82,8.64,7.13
R**************I,1********5,5.41,6.18,6.73,5.18
S***********R,1********8,6.29,7.24,7.43,
A**************A,1********4,8.95,9.29,9.95,
